Time	Biomass	Carbon1	Carbon2	Dext	Eext	Growth	Oxygen	R6	R7	RPO2	RPcl	Rres	Tc1	Tc2	Td	Te	To2	biomass
0.38	5.892863	14.107137	0.0	0.0	0.0	10.5	94.107137	0.0	0.0	0.0	1.0	10.5	10.5	0.0	0.0	0.0	10.5	5.405489
0.39	6.557562	13.442438	0.0	0.0	0.0	10.5	93.442438	0.0	0.0	0.0	1.0	10.5	10.5	0.0	0.0	0.0	10.5	6.003934
0.4	7.29585	12.70415	0.0	0.0	0.0	10.5	92.70415	0.0	0.0	0.0	1.0	10.5	10.5	0.0	0.0	0.0	10.5	6.668633
0.41000000000000003	8.115875	11.884125	0.0	0.0	0.0	10.5	91.884125	0.0	0.0	0.0	1.0	10.5	10.5	0.0	0.0	0.0	10.5	7.406922
0.42	9.026686	10.973314	0.0	0.0	0.0	10.5	90.973314	0.0	0.0	0.0	1.0	10.5	10.5	0.0	0.0	0.0	10.5	8.226946
0.43	10.038332	9.961668	0.0	0.0	0.0	10.5	89.961668	0.0	0.0	0.0	1.0	10.5	10.5	0.0	0.0	0.0	10.5	9.137757
0.44	11.161979	8.838021	0.0	0.0	0.0	10.5	88.838021	0.0	0.0	0.0	1.0	10.5	10.5	0.0	0.0	0.0	10.5	10.149403
0.45	12.410025	7.589975	0.0	0.0	0.0	10.5	87.589975	0.0	0.0	0.0	1.0	10.5	10.5	0.0	0.0	0.0	10.5	11.27305
0.46	13.796243	6.203757	0.0	0.0	0.0	10.5	86.203757	0.0	0.0	0.0	1.0	10.5	10.5	0.0	0.0	0.0	10.5	12.521096
0.47000000000000003	15.33593	4.66407	0.0	0.0	0.0	10.5	84.66407	0.0	0.0	0.0	1.0	10.5	10.5	0.0	0.0	0.0	10.5	13.907314
0.48	17.046077	2.953923	0.0	0.0	0.0	10.5	82.953923	0.0	0.0	0.0	1.0	10.5	10.5	0.0	0.0	0.0	10.5	15.447002
0.49	18.945556	1.054444	0.0	0.0	0.0	10.5	81.054444	0.0	0.0	0.0	1.0	10.5	10.5	0.0	0.0	0.0	10.5	17.157148
0.5	20.10201	0.0	0.0	0.0	0.0	6.145801	79.89799	0.0	0.0	0.0	1.0	6.145801	6.145801	0.0	0.0	0.0	6.145801	18.244669
0.51	20.10201	0.0	0.0	0.0	0.0	0.0	79.89799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.244669
0.52	20.10201	0.0	0.0	0.0	0.0	0.0	79.89799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.244669
0.53	20.10201	0.0	0.0	0.0	0.0	0.0	79.89799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.244669
0.54	20.10201	0.0	0.0	0.0	0.0	0.0	79.89799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.244669
0.55	20.10201	0.0	0.0	0.0	0.0	0.0	79.89799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.244669
0.56	20.10201	0.0	0.0	0.0	0.0	0.0	79.89799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.244669
0.5700000000000001	20.10201	0.0	0.0	0.0	0.0	0.0	79.89799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.244669
0.58	20.10201	0.0	0.0	0.0	0.0	0.0	79.89799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.244669
0.59	20.10201	0.0	0.0	0.0	0.0	0.0	79.89799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.244669
0.6	20.10201	0.0	0.0	0.0	0.0	0.0	79.89799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.244669
0.61	20.10201	0.0	0.0	0.0	0.0	0.0	79.89799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.244669
0.62	20.10201	0.0	0.0	0.0	0.0	0.0	79.89799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.244669
0.63	20.10201	0.0	0.0	0.0	0.0	0.0	79.89799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.244669
0.64	20.10201	0.0	0.0	0.0	0.0	0.0	79.89799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.244669
0.65	20.10201	0.0	0.0	0.0	0.0	0.0	79.89799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.244669
0.66	20.10201	0.0	0.0	0.0	0.0	0.0	79.89799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.244669
0.67	20.10201	0.0	0.0	0.0	0.0	0.0	79.89799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.244669
