Time	Biomass	Carbon1	Carbon2	Dext	Eext	Growth	Oxygen	R6	R7	RPO2	RPcl	Rres	Tc1	Tc2	Td	Te	To2	biomass
0.0	0.0	20.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1
0.01	0.006242	19.988557	20.0	0.009363	0.006242	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.105894
0.02	0.012852	19.976438	20.0	0.019278	0.012852	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.112136
0.03	0.019851	19.963606	20.0	0.029777	0.019851	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.118746
0.04	0.027263	19.950017	20.0	0.040895	0.027263	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.125746
0.05	0.035112	19.935628	20.0	0.052668	0.035112	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.133158
0.06	0.043424	19.92039	20.0	0.065136	0.043424	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.141007
0.07	0.052225	19.904254	20.0	0.078338	0.052225	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.149318
0.08	0.061545	19.887167	20.0	0.092318	0.061545	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.15812
0.09	0.071415	19.869072	20.0	0.107123	0.071415	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.16744
0.1	0.081867	19.849911	20.0	0.1228	0.081867	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.17731
0.11	0.092934	19.829621	20.0	0.139401	0.092934	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.187761
0.12	0.104654	19.808134	20.0	0.156981	0.104654	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.198829
0.13	0.117065	19.785381	20.0	0.175597	0.117065	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.210548
0.14	0.130207	19.761287	20.0	0.19531	0.130207	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.222959
0.15	0.144124	19.735773	20.0	0.216186	0.144124	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.236101
0.16	0.158861	19.708755	20.0	0.238291	0.158861	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.250018
0.17	0.174467	19.680144	20.0	0.2617	0.174467	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.264755
0.18	0.190993	19.649847	20.0	0.286489	0.190993	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.280361
0.19	0.208493	19.617764	20.0	0.312739	0.208493	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.296887
0.2	0.227024	19.583789	20.0	0.340536	0.227024	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.314387
0.21	0.246648	19.547813	20.0	0.369972	0.246648	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.332918
0.22	0.267428	19.509715	20.0	0.401142	0.267428	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.352542
0.23	0.289433	19.469372	20.0	0.43415	0.289433	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.373323
0.24	0.312736	19.426651	20.0	0.469104	0.312736	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.395328
0.25	0.337412	19.381412	20.0	0.506118	0.337412	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.41863
0.26	0.363542	19.333506	20.0	0.545314	0.363542	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.443306
0.27	0.391213	19.282776	20.0	0.58682	0.391213	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.469437
0.28	0.420515	19.229056	20.0	0.630772	0.420515	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.497108
0.29	0.451544	19.172169	20.0	0.677316	0.451544	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.526409
0.3	0.484402	19.11193	20.0	0.726603	0.484402	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.557438
0.31	0.519197	19.048139	20.0	0.778795	0.519197	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.590296
0.32	0.556042	18.980589	20.0	0.834064	0.556042	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.625091
0.33	0.59506	18.909057	20.0	0.89259	0.59506	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.661937
0.34	0.636377	18.833308	20.0	0.954566	0.636377	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.700954
0.35000000000000003	0.68013	18.753094	20.0	1.020196	0.68013	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.742272
0.36	0.726462	18.668153	20.0	1.089693	0.726462	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.786025
0.37	0.775525	18.578204	20.0	1.163288	0.775525	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.832357
0.38	0.82748	18.482953	20.0	1.24122	0.82748	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.88142
0.39	0.882497	18.382088	20.0	1.323746	0.882497	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.933375
0.4	0.940758	18.275277	20.0	1.411137	0.940758	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	0.988392
0.41000000000000003	1.002452	18.162171	20.0	1.503678	1.002452	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	1.046652
0.42	1.067783	18.042397	20.0	1.601675	1.067783	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	1.108347
0.43	1.136965	17.915564	20.0	1.705448	1.136965	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	1.173678
0.44	1.210225	17.781254	20.0	1.815338	1.210225	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	1.24286
0.45	1.287803	17.639028	20.0	1.931705	1.287803	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	1.31612
0.46	1.369954	17.488418	20.0	2.054931	1.369954	5.727273	0.0	2.863636	1.909091	1.0	1.0	0.0	10.5	0.0	8.590909	5.727273	0.0	1.393698
