Time	Biomass	Carbon1	Carbon2	Dext	Eext	Growth	Oxygen	R6	R7	RPO2	RPcl	Rres	Tc1	Tc2	Td	Te	To2	biomass
0.31	0.519197	0.0	19.048139	0.778795	0.519197	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	0.590296
0.32	0.556042	0.0	18.980589	0.834064	0.556042	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	0.625091
0.33	0.59506	0.0	18.909057	0.89259	0.59506	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	0.661937
0.34	0.636377	0.0	18.833308	0.954566	0.636377	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	0.700954
0.35000000000000003	0.68013	0.0	18.753094	1.020196	0.68013	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	0.742272
0.36	0.726462	0.0	18.668153	1.089693	0.726462	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	0.786025
0.37	0.775525	0.0	18.578204	1.163288	0.775525	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	0.832357
0.38	0.82748	0.0	18.482953	1.24122	0.82748	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	0.88142
0.39	0.882497	0.0	18.382088	1.323746	0.882497	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	0.933375
0.4	0.940758	0.0	18.275277	1.411137	0.940758	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	0.988392
0.41000000000000003	1.002452	0.0	18.162171	1.503678	1.002452	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	1.046652
0.42	1.067783	0.0	18.042397	1.601675	1.067783	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	1.108347
0.43	1.136965	0.0	17.915564	1.705448	1.136965	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	1.173678
0.44	1.210225	0.0	17.781254	1.815338	1.210225	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	1.24286
0.45	1.287803	0.0	17.639028	1.931705	1.287803	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	1.31612
0.46	1.369954	0.0	17.488418	2.054931	1.369954	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	1.393698
0.47000000000000003	1.456947	0.0	17.32893	2.185421	1.456947	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	1.475849
0.48	1.549068	0.0	17.160041	2.323603	1.549068	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	1.562842
0.49	1.64662	0.0	16.981198	2.469929	1.64662	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	1.654963
0.5	1.749921	0.0	16.791812	2.624881	1.749921	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	1.752514
0.51	1.859311	0.0	16.591263	2.788966	1.859311	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	1.855815
0.52	1.975149	0.0	16.378893	2.962724	1.975149	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	1.965205
0.53	2.097815	0.0	16.154005	3.146723	2.097815	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	2.081044
